127.0.0.1 - - [24/Jun/2018:20:18:52 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:18:54 +0530] "GET /Tourist/ HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:18:54 +0530] "GET /Tourist/javascript/validateTags.js HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:18:54 +0530] "GET /Tourist/css/loginstyle.css HTTP/1.1" 200 1946
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:18:54 +0530] "GET /Tourist/javascript/overlayEffect.js HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:18:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:22:16 +0530] "POST /Tourist/login.obj HTTP/1.1" 200 4608
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:22:16 +0530] "GET /Tourist/css/adminstyle.css HTTP/1.1" 200 6801
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:22:16 +0530] "GET /Tourist/javascript/sort.js HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:22:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:22:24 +0530] "GET /Tourist/addPlace.obj HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:22:24 +0530] "GET /Tourist/javascript/addressDropDown.js HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:22:24 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:24:37 +0530] "GET /Tourist/addPlace.obj HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:24:47 +0530] "GET /Tourist/retrieveAllPlaces.obj HTTP/1.1" 200 4609
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:24:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:26:22 +0530] "GET /Tourist/loginPage.obj HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:26:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:33:54 +0530] "GET /Tourist/addPlace.obj HTTP/1.1" 200 3993
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:54:49 +0530] "GET /Tourist/retrieveAllPlaces.obj HTTP/1.1" 200 4609
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:55:27 +0530] "GET /Tourist/pagination.obj?i=1 HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:55:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:55:31 +0530] "GET /Tourist/retrieveAllPlaces.obj HTTP/1.1" 200 4609
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:55:37 +0530] "POST /Tourist/searchPlace.obj HTTP/1.1" 200 3282
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:55:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:55:41 +0530] "GET /Tourist/retrieveAllPlaces.obj HTTP/1.1" 200 4609
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:55:48 +0530] "POST /Tourist/searchPlace.obj HTTP/1.1" 200 3243
0:0:0:0:0:0:0:1 - - [24/Jun/2018:20:55:58 +0530] "GET /Tourist/retrieveAllPlaces.obj HTTP/1.1" 200 4609
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:03:29 +0530] "GET /Tourist/showFeedbacks.obj HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:03:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:03:34 +0530] "GET /Tourist/loginPage.obj HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:04:37 +0530] "POST /Tourist/addUser.obj HTTP/1.1" 200 4053
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:04:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:04:49 +0530] "POST /Tourist/login.obj HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:05:09 +0530] "GET /Tourist/submitFeedback.obj HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:05:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:05:20 +0530] "POST /Tourist/addFeedback.obj HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:05:20 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:05:23 +0530] "GET /Tourist/loginPage.obj HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:05:30 +0530] "POST /Tourist/login.obj HTTP/1.1" 200 4609
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:05:33 +0530] "GET /Tourist/showFeedbacks.obj HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [24/Jun/2018:21:05:44 +0530] "GET /Tourist/loginPage.obj HTTP/1.1" 200 4010
