127.0.0.1 - - [09/Jul/2018:09:31:12 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [09/Jul/2018:09:31:14 +0530] "GET /RailReads/ HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [09/Jul/2018:10:08:07 +0530] "GET /RailReads/ HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [09/Jul/2018:10:08:07 +0530] "GET /RailReads/css/bgblack.css HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [09/Jul/2018:10:09:14 +0530] "GET /RailReads/ HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [09/Jul/2018:10:09:14 +0530] "GET /RailReads/css/bgblack.css HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [09/Jul/2018:10:21:09 +0530] "GET /RailReads/css/bgblack.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2018:10:21:09 +0530] "GET /RailReads/ HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [09/Jul/2018:10:21:09 +0530] "GET /RailReads/css/bgblack.css HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [09/Jul/2018:10:21:11 +0530] "GET /RailReads/ HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [09/Jul/2018:10:21:11 +0530] "GET /RailReads/css/bgblack.css HTTP/1.1" 200 62
